letter,ID,P1,P2
AV,23629011.abf,2.5,12.87
AV,23629011.abf,3.55,22.47
AV,23629011.abf,3.65,16.47
AV,23629011.abf,4.14,5.36
AV,23629011.abf,11,5.51
AV,23629011.abf,15.88,10.99
AV,23629011.abf,3.7,12.86
AV,23629011.abf,13.97,16.42
AV,23629011.abf,20.47,4.6
AV,23629011.abf,3.85,3.85
AV,23629011.abf,4.2,16.41
AV,23629011.abf,8.86,12.52
AV,23629011.abf,4.58,5.19
